accuracy,bal_accuracy,macro_f1,weighted_f1
0.9395618476983306,0.6236380108386961,0.703332965932386,0.9272655084543452
0.9383467218112888,0.6275694925793829,0.7072917774260251,0.925749105103791
0.9399418507030055,0.6315251818439895,0.7096615010335815,0.9277174973531631
0.9391553328561203,0.6355211876817934,0.712350638748319,0.9268929092348996
0.9390183550288537,0.6271107355990623,0.7058041795028727,0.9264639140765447
0.9399506879821841,0.633139492046709,0.712398320418781,0.9278054111431161
0.9388504467244625,0.6309492682260173,0.7100213843240987,0.9263212285984206
0.9386648638617142,0.6249307020929302,0.7056585257703561,0.9259614592658761
0.9387576552930884,0.6274968278889537,0.7075197631848861,0.9262557609210146
0.9393939393939394,0.6288097660626584,0.7066988607659433,0.9271105300439405
0.939804872875739,0.630455776030305,0.7092593718038954,0.9274095925045299
0.9396502204901155,0.6345034057373672,0.7125782800890976,0.9273357333425141
0.93933207843969,0.626579408832255,0.7061066005560354,0.9268755869432658
0.9387223061763744,0.6259973637056561,0.7056964021171438,0.9262302116780623
0.9394602189877781,0.631341190313153,0.708919380266534,0.9270444630675219
0.9391774260540665,0.6295674744451213,0.7114419454011333,0.926770128156752
0.9390271923080322,0.6288319369928754,0.7091010590856845,0.9266351279976119
0.9386118401866433,0.6243882233503185,0.7027377530839694,0.9259041611421155
0.9398755711091669,0.6331522782428588,0.7119257076276458,0.9275492507385678
0.9390537041455677,0.6294271403166977,0.7077881795612784,0.9265723737006151
0.9390934719018709,0.6259155993301412,0.7062681520725226,0.9266209672924691
0.9387399807347314,0.626543686860321,0.7068092520090205,0.9262438247442497
0.9388062603285701,0.6314053925012618,0.7096049921102994,0.9261914580310079
0.9393409157188685,0.6294412437693563,0.7092008727236739,0.9268186292829833
0.9396369645713478,0.6321976169787779,0.7111216457422241,0.927370719806889
0.9408211599812649,0.6328592795985292,0.7142640920001743,0.929122182335326
0.9401185962865752,0.630096948866602,0.7096819988651865,0.9279579309510184
0.9398844083883454,0.6265487829798687,0.7067894380208501,0.9276579423468843
0.9394337071502425,0.6320002018993017,0.7110044894823284,0.9271259346134438
0.9398667338299884,0.6334189305082004,0.7109752840346415,0.9275653808878105
0.9387974230493915,0.6223726576788244,0.7033224293239473,0.9262880680175145
0.9387885857702131,0.6265832622545485,0.7043297175443536,0.9262111283719566
0.9393939393939394,0.6261259691839687,0.7044729034637519,0.9270368823434326
0.9391376582977633,0.628410774727895,0.7074577756376581,0.9265850521291981
0.9399153388654701,0.6307080527220525,0.7091281768222989,0.9276247874008714
0.9395397545003844,0.63204603954648,0.711306110325407,0.9272144314871051
0.9395264985816167,0.6288008570009553,0.7077050898158737,0.9272456844927949
0.9396723136880617,0.6342192759072235,0.7125616848191074,0.9274122888588056
0.9394823121857243,0.6300075982154173,0.7102341101496691,0.9273288679847668
0.9398667338299884,0.6280429628121836,0.705847517079066,0.9275590968081662
0.9395044053836705,0.6301212160868463,0.7079295076660966,0.9270023064524407
0.9397695237590251,0.6348653557003239,0.7148194401477893,0.9277133106105608
0.9404499942557686,0.6338145811253935,0.7123558503968654,0.9283218455071072
