metric,mean,ci_lo,ci_hi
accuracy,0.9394735588606979,0.9385145196496903,0.9404987097572399
bal_accuracy,0.6297872859418804,0.6237526093969388,0.635633438715321
macro_f1,0.7089069330887245,0.7033216833415928,0.7142016101552978
weighted_f1,0.9271453671463245,0.9259027960986872,0.928462661575687
