metric,mean,ci_lo,ci_hi
accuracy,0.9445282395256149,0.943591426071741,0.9454610629479395
bal_accuracy,0.9166974743326355,0.9123706731886367,0.9208513883982486
macro_f1,0.8613918221441835,0.8569814583872226,0.8656875529865438
weighted_f1,0.9482907068410057,0.9474337997444556,0.9491218993639555
