accuracy,bal_accuracy,macro_f1,weighted_f1
0.9445770036321217,0.9190461209685356,0.8633498463031,0.9484066726688687
0.9437993230644149,0.9166624748817689,0.8592648277812145,0.9476878601467285
0.9450763099057062,0.914510813276179,0.859273892718967,0.9487638263654006
0.9449481693576182,0.9180138987901927,0.8630374557457224,0.9487262839067706
0.9445151426778723,0.9164837460572653,0.8607364566829759,0.9482410912707427
0.9455358484229875,0.9168713002975407,0.8614078652548516,0.9493331949354077
0.9443693275714273,0.9149292502959464,0.8611622214339683,0.9480473010901994
0.9444974681195154,0.9198710150287871,0.8650475971024429,0.9482861547163555
0.9454916620270951,0.9172753958175902,0.8643957287570976,0.9490679400793931
0.9442500243025177,0.9189951759169269,0.8633613532550951,0.9481051092722009
0.9444709562819799,0.9180984860412378,0.8619711714872257,0.9482499372800323
0.9455049179458628,0.9190475032715957,0.8634739388014451,0.9491457402959845
0.943874439937432,0.9151274369178611,0.8602098339592471,0.9476439632985638
0.9441572328711436,0.9142304931594382,0.8606008003128423,0.9479930900832619
0.9448288660887086,0.916310840022845,0.8627146553730262,0.9485294858685128
0.9451735199766695,0.9184068405643566,0.8625838538891175,0.9488849192475838
0.9446432832259604,0.9179330684671817,0.8641731788659122,0.9482303817064001
0.9445902595508895,0.9160918180979111,0.8631128603468029,0.9483311774339666
0.9437286248309871,0.9173796649838304,0.86137309507737,0.9476060477747247
0.9447007255406206,0.9201515565472425,0.8648296767078947,0.9484903891385099
0.9437993230644149,0.9154144187356906,0.86165133744005,0.9475327773961424
0.9453060791643468,0.9193950706752527,0.865085793371775,0.948901513894815
0.9451204963015987,0.9220577166149162,0.8661622583475855,0.9488556062705704
0.9446079341092465,0.9172111289962033,0.8641030259330662,0.9484016680081071
0.944709562819799,0.9152153139589629,0.8592578148102313,0.9484740633889138
0.9447493305761022,0.9125283622600753,0.8600510198413958,0.9485422964568241
0.9437374621101655,0.9150306185671598,0.8585782238345009,0.9475728786615242
0.9445239799570508,0.9138979479823847,0.8587324219932709,0.9482304185117
0.9434149014201507,0.9116488098313887,0.85778231981249,0.9473160439435039
0.9442853734192317,0.9155548653846658,0.8578755011081185,0.9481230005315958
0.9450321235098138,0.9122461084248202,0.8590859830741681,0.9487164613817339
0.9445770036321217,0.9191713628158514,0.8621701353738728,0.9483233622621005
